	Address	Id	Latitude	Longitude	Name
62	30 Seymour Street, Marylebone, London, London, ENG, GB, W1H 7	2430950000000.0	41.3759896	2.167148	Hotel Garbi Millenni
63	44 Cleveland Square, Bayswater, London, London, ENG, GB, W2 3	2465310000000.0	41.3866227	2.1840722	K K Hotel Picasso
64	15 Montague Street, Bloomsbury, London, London, ENG, GB, WC1B 5BJ	2499670000000.0	41.3936071	2.1504611	Guitart Grand Passage
65	34 Lombard Road, Battersea, London, London, ENG, GB, SW11 3RF	2516850000000.0	41.388024	2.1731556	H10 Cubik 4 Sup
66	21 Craven Hill, Bayswater, London, London, ENG, GB, W2 3EN	2534030000000.0	41.3790126	2.1696339	Barcel Raval
67	51 Buckingham Gate, St James's Park, London, London, ENG, GB, SW1E 6BS	2628520000000.0	41.4253332	2.1211028	Gran Hotel La Florida
68	6 Crown Court, Holborn, London, London, ENG, GB, WC2B 5	2800320000000.0	41.3854716	2.1018835	Abba Garden
69	8 Queensberry Place, South Kensington, London, London, ENG, GB, SW7 2EA	2826090000000.0	41.3822909	2.1807447	Barcelona Hotel Colonial
70	18a St James's Place, St James's, London, London, ENG, GB, SW1A 1	2843270000000.0	41.391393	2.1668467	Mandarin Oriental Barcelona
71	20 Sloane Street, Belgravia, London, London, ENG, GB, SW1X 9NE	2903400000000.0	41.3832498	2.1753483	Hotel Neri
72	62 Knightsbridge, Belgravia, London, London, ENG, GB, SW1X 7	2911990000000.0	41.3810311	2.1455516	H10 Itaca
73	43 Worple Road, Wimbledon, London, London, ENG, GB, SW19 4JZ	2980710000000.0	41.3858891	2.1681652	Hotel Regina
74	16 Lexham Gardens, Kensington, London, London, ENG, GB, W8 5JE	2980710000000.0	41.3900104	2.1422396	Hotel Gran Derby Suites
75	41 Great Cumberland Place, Marylebone, London, London, ENG, GB, W1H 7DQ	2997890000000.0	41.3920254	2.1554675	Evenia Rossello
76	10 Knightsbridge Green, South Kensington, London, London, ENG, GB, SW1X 7	3006480000000.0	41.3933943	2.1461315	Vincci Mae
77	Pancras Road, Camden, London, London, ENG, GB, N1C 4	3049430000000.0	41.3971434	2.1921947	Hotel Spa Villa Olimpica Suites
