Id,Name,Country,City,Latitude,Longitude
2,Parkside Inn At Incline,US,Incline Village,39.244493,-119.936437
8589934592,Cadillac Motel,US,Brandywine,38.66893,-76.87629
17179869184,Days Inn Brookings,US,Brookings,44.31141,-96.76286
17179869187,Motel 6,US,Grayling,44.657326,-84.74439
25769803780,Carleton Hotel,US,Carleton,42.05927,-83.39095
42949672960,Americana Resort Properties,US,Dillon,,
42949672965,Comfort Inn Deland - Near University,US,Deland,29.054737,-81.297208
51539607555,Magnuson Hotel Summerton,US,Summerton,33.592181,-80.356729
60129542147,Ubaa Old Crawford Inn,US,Des Plaines,,
68719476738,Southside Motel,US,Tappahannock,37.923133,-76.859002
77309411332,Hotel Metropole,US,Lithia Springs,45.43393,12.34551
85899345921,Country Inns Suites,US,Watertown,44.89151,-97.06111
85899345924,The Parkview Memphis,US,Memphis,35.142477,-89.996546
1.03079E+11,Wisconsin-aire Motel,US,Random Lake,43.55906,-87.94045
1.11669E+11,Comfort Suites,US,Houston,,-95.402996
1.11669E+11,Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,US,Port Clinton,41.52469,-82.85883
1.20259E+11,Days Inn,US,Santa Maria,34.95311,-120.42399
1.28849E+11,Sheraton Offenbach Hotel,US,Northbrook,50.106529,8.760921
1.28849E+11,Marriott's Mountainside At Park City,US,Park City,40.65143,-111.50604
1.37439E+11,"The Citizen Hotel, Autograph Collection",US,Sacramento,38.5802767,-121.4938057
1.37439E+11,Holiday Inn Express and Suites Gahanna/columbus Airport E,US,Columbus,40.00747,-82.865154
1.46029E+11,Masters Inn,US,Savannah,32.10299,-81.1486
1.46029E+11,Rodeway Inn Airport,US,Boise,43.569224,-116.215958
1.71799E+11,Lewis River Inn,US,Woodland,45.90706,-122.74029
1.88979E+11,American Star Inn and Suites Atlantic City,US,Absecon,39.447342,-74.530457
1.97568E+11,Rodeway Inn,US,Brockton,42.063783,-71.057816
2.06158E+11,Days Inn Ruther Glen Kings Dominion Area,US,Ruther Glen,37.93338,-77.47601
2.23338E+11,Cypress Suites,US,Cypress,33.83175,-118.02351
2.31928E+11,Fairfield Inn Saginaw,US,Saginaw,43.48418,
2.40518E+11,Casino Queen Rv Park,US,East Saint Louis,38.628986,-90.174933
2.49108E+11,Wingate By Wyndham Pueblo,US,Pueblo,38.32148,-104.618378
2.57698E+11,Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management,US,North Myrtle Beach,33.791179,-78.734704
2.66288E+11,Bridgetown Mill House Restaurant Inn,US,Langhorne,40.189476,-74.92503
2.74878E+11,Protection Motel,US,Protection,37.202297,-99.484146
2.83468E+11,Fairfield Inn Suites Chattanooga South/east Ridge,,Chattanooga,34.991222,-85.20835
2.92058E+11,Best Western,US,Hanford,36.320124,-119.656297
3.00648E+11,Red Fox Motel,US,Lebanon,37.65888,-92.66761
3.00648E+11,Petretti Apartments,US,Kenosha,42.625263,-87.82863
3.09238E+11,Super 8 Dallas South,US,Dallas,,-96.857314
3.17828E+11,Country Inn and Suites By Carlson Charlotte University Place,US,Charlotte,35.30077,-80.7538
3.26418E+11,Super 8 Kansas City Airport,US,Kansas City,39.309014,-94.6826
3.35007E+11,Best Western Saint-etienne Aeroport,US,Park City,45.531554,4.278685
3.43597E+11,Casa Del Mar Inn Bandb,US,Santa Barbara,34.409581,-119.693387
3.52187E+11,Homeplace Inn and Suites,US,Jacksonville,31.964827,-95.254599
3.60777E+11,Red Lion Anaheim Maingate Hotel,US,Anaheim,33.801777,-117.91515
3.69367E+11,Corey Motel,US,Sioux City,42.50763,
3.77957E+11,Candlewood,US,Clare,43.830013,-84.78837
3.86547E+11,Residence Inn Billings,US,Billings,45.7522,-108.58104
3.95137E+11,Parkway Inn Jellico,US,Jellico,36.580692,-84.113282
4.03727E+11,Comfort Suites,US,Monroe,32.49375,-92.08275
4.12317E+11,Hometown Inn,US,Soddy Daisy,35.250668,-85.18146
4.20907E+11,Quality Inn and Suites,US,Richmond,37.56611,-77.47481
4.29497E+11,Hyatt Place Pittsburgh Cranberry,US,Cranberry Twp,40.67519,-80.10058
4.38087E+11,Patriots Inn,US,Williamsburg,37.28775,-76.721695
4.46677E+11,H��tel Les Bruy��res,US,Lebanon,45.313678,6.540197
4.55267E+11,Pheasant Manor,US,Mott,46.374714,-102.33582
4.55267E+11,Busy B Ranch,US,Jefferson,,
4.63856E+11,Courtyard San Marcos,US,San Marcos,29.824612,-97.9903
4.81036E+11,Berney Fly Bed and Breakfast,US,Mobile,30.684177,
4.81036E+11,Comfort Inn - Springfield,US,Springfield,38.7756,-77.17851
4.89626E+11,Suburban Extended Stay Warner Robins,US,Warner Robins,102178384,-83.67237
4.98216E+11,Comfort Inn Livermore,US,Livermore,37.701428,-121.814181
