	Address	Id	Latitude	Longitude	Name
39	37 Eccleston Square, Pimlico, London, London, ENG, GB, SW1P 4	2602750000000.0	48.1925582	16.3576071	Arthotel ANA Prime
40	20 Bina Gardens, South Kensington, London, London, ENG, GB, SW5 0LA	2662880000000.0	48.1940487	16.2971831	Hotel Kavalier
41	5-7 Princes Square, Bayswater, London, London, ENG, GB, W2 4	2714420000000.0	48.2048494	16.343618	Falkensteiner Hotel Wien Zentrum Schottenfeld
42	34 Broadway, St James's Park, London, London, ENG, GB, SW1H 0	2817500000000.0	48.19183	16.3770876	Pakat Suites Hotel
43	92 Southampton Row, Bloomsbury, London, London, ENG, GB, WC1A 2	2920580000000.0	48.1954348	16.383429	NH Wien Belvedere
44	31 Great Cumberland Place, Marylebone, London, London, ENG, GB, W1H 7DP	2929170000000.0	48.1965878	16.3413729	IntercityHotel Wien
45	31 Roland Gardens, South Kensington, London, London, ENG, GB, SW7 3PF	3100970000000.0	48.2163149	16.3685103	Palais Hansen Kempinski Vienna
46	8 Great Swan Alley, City of London, London, London, ENG, GB, EC2R 7	3143920000000.0	48.2062103	16.3710387	Austria Trend Hotel Europa Wien
47	Soho, London, London, ENG, GB, W1D 3DH	3221230000000.0	48.2002872	16.3547746	NH Wien City
48	Fitzrovia, London, London, ENG, GB, W1T 1LB	3255590000000.0	48.1955998	16.3826989	Lindner Hotel Am Belvedere
49	52-55 Inverness Terrace, Bayswater, London, London, ENG, GB, W2 3	3324300000000.0	48.2071576	16.3765913	Appartement Hotel an der Riemergasse
50	Marsh Wall, Isle of Dogs, London, London, ENG, GB, E14 9	3418790000000.0	48.2038688	16.3887039	Mercure Grand Hotel Biedermeier Wien
51	7 Pepys Street, City of London, London, London, ENG, GB, EC3N 4AF	3427380000000.0	48.2196722	16.3863588	Hotel Vienna
52	25 Via Spezia, Tibaldi, Milano, Milano, 25, IT, 20142	1735170000000.0	48.2138096	16.3714293	K K Palais Hotel
53	33 Via Carlo Goldoni, Buenos Aires-P. Venezia-P. Monforte, Milano, Milano, 25, IT, 20129	1752350000000.0	48.204576	16.3563661	Hotel Sans Souci Wien
54	153/1 Via Palmanova, Padova-Turro-Crescenzago, Milano, Milano, 25, IT, 20132	1778120000000.0	48.1949694	16.3692624	Hotel Johann Strauss
55	17 Via Gioacchino Murat, Maciachini-Maggiolina, Milano, Milano, 25, IT, 20159	1786710000000.0	48.1935235	16.3669145	Suite Hotel 900 m zur Oper
56	8 Via Silvio Pellico, Duomo, Milano, Milano, 25, IT, 20121	1829660000000.0	48.2195864	16.3255339	Senator Hotel Vienna
57	2 Viale Isonzo, Porta Romana, Milano, Milano, 25, IT, 20135	1864020000000.0	48.1941905	16.3462578	Arthotel ANA Boutique Six
58	2 Via San Raffaele, Duomo, Milano, Milano, 25, IT, 20121	1915560000000.0	48.2114567	16.3738677	Mercure Vienna First
59	5 Via Senato, Duomo, Milano, Milano, 25, IT, 20121	1967100000000.0	48.191373	16.4082294	Vienna Sporthotel
60	12 Via Giuseppe Edoardo Arimondi, Ghisolfa, Milano, Milano, 25, IT, 20155	1992860000000.0	48.2026449	16.3671054	Das Opernring Hotel
61	8 Via Privata Leopoldo Gasparotto, Stazione Centrale-Ponte Seveso, Milano, Milano, 25, IT, 20124	2018630000000.0	48.2082256	16.3684123	Pertschy Palais Hotel
