	Address	Id	Latitude	Longitude	Name
0	14 Schulerstraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010	481036000000.0	38.7756	-77.17851	Comfort Inn - Springfield
1	4 Rue de l'Isly, 8e Arrondissement, Paris, Paris, IDF, FR, 75008	687195000000.0	40.684914	-74.33085	Holiday Inn
2	12 Rue de Charonne, 11e Arrondissement, Paris, Paris, IDF, FR, 75011	876173000000.0	37.2085	-93.22816	Greenstay Hotel and Suites
3	2 Avenue de l'Opéra, 1er Arrondissement, Paris, Paris, IDF, FR, 75001	1357210000000.0	44.083797	-123.03951	Holiday Inn Express
