Latitude	Longitude	Address
48.19451	16.34612	26 Webgasse, 6. Bezirk-Mariahilf, Wien, Wien, 9, AT, 1060
48.20847	16.35402	4-6 Josefsgasse, 8. Bezirk-Josefstadt, Wien, Wien, 9, AT, 1080
48.23521	16.422	21 Wagramer Straße, 22. Bezirk-Donaustadt, Wien, Wien, 9, AT, 1220
48.25075	16.30492	24 Rathstraße, 19. Bezirk-Döbling, Wien, Wien, 9, AT, 1190
48.20601	16.37641	3d Seilerstätte, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.21263	16.37978	7 Praterstraße, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.20145	16.37321	16 Kärntner Ring, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.18559	16.40461	3 Rinnböckstraße, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.20706	16.37216	3 Weihburggasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20569	16.37121	22 Kärntner Straße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.21983	16.35986	5 Harmoniegasse, 9. Bezirk-Alsergrund, Wien, Wien, 9, AT, 1090
48.20467	16.35155	41 Kirchengasse, 7. Bezirk-Neubau, Wien, Wien, 9, AT, 1070
48.19138	16.31588	8 Schlossallee, 14. Bezirk-Penzing, Wien, Wien, 9, AT, 1140
48.20376	16.36971	4 Philharmonikerstraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.23416	16.42072	16 Wagramer Straße, 22. Bezirk-Donaustadt, Wien, Wien, 9, AT, 1220
48.20821	16.37187	4 Stock-im-Eisen-Platz, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.21129	16.38388	2 Uraniastraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.2102	16.37424	15 Rotenturmstraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20965	16.37029	9 Petersplatz, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19775	16.34848	78-80 Mariahilfer Straße, 7. Bezirk-Neubau, Wien, Wien, 9, AT, 1070
48.20623	16.37084	3 Neuer Markt, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.21488	16.36253	4 Maria-Theresien-Straße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20401	16.38892	28 Landstraßer Hauptstraße, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.21952	16.38622	31 Große Stadtgutgasse, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.21389	16.3715	11 Rudolfsplatz, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19753	16.36746	12 Wiedner Hauptstraße, 4. Bezirk-Wieden, Wien, Wien, 9, AT, 1040
48.21662	16.36907	21 Gonzagagasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.18249	16.3321	11 Grieshofgasse, 12. Bezirk-Meidling, Wien, Wien, 9, AT, 1120
48.20442	16.35641	2 Burggasse, 7. Bezirk-Neubau, Wien, Wien, 9, AT, 1070
48.2218	16.35813	1 Pasteurgasse, 9. Bezirk-Alsergrund, Wien, Wien, 9, AT, 1090
48.19505	16.36953	12 Favoritenstraße, 4. Bezirk-Wieden, Wien, Wien, 9, AT, 1040
48.20101	16.35888	15 Mariahilfer Straße, 6. Bezirk-Mariahilf, Wien, Wien, 9, AT, 1060
48.15847	16.34507	1 Hintschiggasse, 10. Bezirk-Favoriten, Wien, Wien, 9, AT, 1100
48.20276	16.36596	1 Robert-Stolz-Platz, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.1923	16.39925	153-155 Landstraßer Hauptstraße, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.21485	16.33654	34-36 Ottakringer Straße, 17. Bezirk-Hernals, Wien, Wien, 9, AT, 1170
48.23058	16.35521	5 Viriotgasse, 9. Bezirk-Alsergrund, Wien, Wien, 9, AT, 1090
48.21024	16.36811	4 Bognergasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20711	16.3767	8 Riemergasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20213	16.37916	28 Johannesgasse, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.22395	16.31396	187 Hernalser Hauptstraße, 17. Bezirk-Hernals, Wien, Wien, 9, AT, 1170
48.17898	16.41136	55 Simmeringer Hauptstraße, 11. Bezirk-Simmering, Wien, Wien, 9, AT, 1110
48.20954	16.36598	1 Fahnengasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.19512	16.38459	16 Rennweg, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.21323	16.35704	17 Rathausstraße, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20064	16.36481	5 Getreidemarkt, 6. Bezirk-Mariahilf, Wien, Wien, 9, AT, 1060
48.19596	16.38288	12 Rennweg, 3. Bezirk-Landstraße, Wien, Wien, 9, AT, 1030
48.19149	16.3545	8-10 Sonnenhofgasse, 5. Bezirk-Margareten, Wien, Wien, 9, AT, 1050
48.17564	16.4205	50-54 Mautner-Markhof-Gasse, 11. Bezirk-Simmering, Wien, Wien, 9, AT, 1110
48.20002	16.3549	32 Mariahilfer Straße, 7. Bezirk-Neubau, Wien, Wien, 9, AT, 1070
48.21056	16.37591	6 Köllnerhofgasse, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.18686	16.3438	142 Margaretengürtel, 5. Bezirk-Margareten, Wien, Wien, 9, AT, 1050
48.19346	16.367	44 Wiedner Hauptstraße, 4. Bezirk-Wieden, Wien, Wien, 9, AT, 1040
48.21125	16.37889	3-4 Schwedenplatz, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.20756	16.3528	13 Lange Gasse, 8. Bezirk-Josefstadt, Wien, Wien, 9, AT, 1080
48.21774	16.38222	7a Rotensterngasse, 2. Bezirk-Leopoldstadt, Wien, Wien, 9, AT, 1020
48.20196	16.37524	11 Schubertring, 1. Bezirk-Innere Stadt, Wien, Wien, 9, AT, 1010
48.21966	16.32565	105 Hernalser Hauptstraße, 17. Bezirk-Hernals, Wien, Wien, 9, AT, 1170
48.16272	16.34036	Gutheil-Schoder-Gasse, 10. Bezirk-Favoriten, Wien, Wien, 9, AT, 1100
